reference	25_10_DAC	25_10_FSB	25_10_FSP	25_10_LLN	25_10_MPT	25_10_PPT	25_10_SSH	25_10_TCR	25_11_DAC	25_11_FSB	25_11_FSP	25_11_LLN	25_11_MPT	25_11_PPT	25_11_SSH	25_11_TCR	25_12_DAC	25_12_FSB	25_12_FSP	25_12_LLN	25_12_MPT	25_12_PPT	25_12_SSH	25_12_TCR	26_01_DAC	26_01_FSB	26_01_FSP	26_01_LLN	26_01_MPT	26_01_PPT	26_01_SSH	26_01_TCR
PZP66635.1	5.555521505585036e-06	1.3327920065319604e-06	4.8819458320213105e-06	2.946768198491073e-06	2.9229503498979002e-06	6.079626078677657e-06	5.529351117151037e-06	9.845329235621692e-06	2.874435721792746e-06	5.819394684952203e-06	7.072471983398104e-07	2.2917474746375173e-06	5.022417454199408e-06	3.971328708721051e-06	4.719797426294463e-06	4.18085194892504e-06	5.948266868072737e-06	1.628071402490306e-06	8.761809532633343e-06	7.192857674352704e-06	3.506169788523339e-06	5.038568051888808e-06	2.655477546476832e-06	2.552865700245318e-06	9.331102882838953e-06	5.359058036837705e-06	7.65600592988395e-06	6.982710977928672e-06	8.84645560858405e-06	8.821566842075738e-06	6.114742820926535e-06	7.148412480556317e-06
Q01398.1	4.578642115103298e-05	6.559240660718005e-06	1.3291322884749952e-05	4.4428329625879694e-05	9.118104169184464e-06	3.924874250792583e-05	4.1995144406532454e-05	4.778304311139465e-05	1.8262392367780985e-05	2.1874377071648497e-05	1.941215261829753e-06	3.7139560690171603e-05	9.346113997840464e-06	3.4656500458831746e-05	3.212351921773885e-05	3.6850275567962886e-05	2.586018755255112e-05	1.749346109002339e-05	4.9007732255736475e-05	5.1290677318864086e-05	1.0036458094967455e-05	2.8904346105906616e-05	2.4376200008270998e-05	2.720451781928089e-05	4.554167463996294e-05	3.656033762740593e-05	1.948158696473673e-05	5.720331372560981e-05	1.8602297432411812e-05	4.8529207747673565e-05	3.810376574175176e-05	3.224079914699891e-05
Q479B8	9.458723389186397e-06	2.252418491039013e-06	6.2558648733187364e-06	6.304400077228901e-06	4.008213528198702e-06	1.043263835101086e-05	6.6520905473793335e-06	1.3605816945836328e-05	4.169444657505689e-06	6.980339473361994e-06	8.112541392721355e-07	7.5971428784233695e-06	4.08301317544211e-06	7.965350724349081e-06	6.182934628445747e-06	7.91110096557705e-06	1.0592404283183116e-05	6.730447177894926e-06	1.322952855853941e-05	1.454131594329345e-05	4.845895718243311e-06	1.3050841927609354e-05	5.005575175108829e-06	9.126494878377012e-06	1.551780015270614e-05	1.2540195806200232e-05	8.107542629982215e-06	1.1822921855800207e-05	8.092868649334298e-06	2.0642466410457233e-05	1.0004315815311024e-05	8.864031475889835e-06
Q6NAM1.1	3.0472931509989673e-05	5.735004004107027e-06	1.774006125912125e-05	2.6005650318569217e-05	1.4856130875158492e-05	3.572388283830991e-05	2.4342265409640854e-05	3.8647197827743686e-05	1.3767034246481048e-05	2.200904850344192e-05	2.4702688540836523e-06	2.5472773180596007e-05	1.473195294382491e-05	2.5112980755933914e-05	1.9681555267647912e-05	2.977231126740065e-05	2.586822698909595e-05	1.3175167824652804e-05	4.2823545049679706e-05	4.820388985926411e-05	1.7776280827813332e-05	3.685379794330596e-05	1.5983319352244054e-05	2.5277625208595723e-05	4.257095617114074e-05	2.8066152518638617e-05	2.8550754960421245e-05	4.0782438311580495e-05	2.9389891410740344e-05	4.5939606619350904e-05	3.245586177292762e-05	3.302566566017019e-05
QAX87819.1	5.109987907380247e-05	1.819261088916126e-05	3.2633290705909714e-05	3.757589450003981e-05	3.225517235615274e-05	8.877059323356623e-05	7.174440136246396e-05	7.023195234097856e-05	3.14154083278262e-05	3.599675659371347e-05	4.077760872235437e-06	3.403472656870617e-05	3.3269943585466634e-05	6.934514772439666e-05	4.0696531450565506e-05	4.061333112857537e-05	6.248132951781841e-05	6.515574098555659e-05	9.348822557217755e-05	9.394947308620006e-05	3.729506326987139e-05	9.494958935518017e-05	5.68228230086001e-05	6.802288175454992e-05	9.658268629299608e-05	9.995378398035662e-05	4.52487825695974e-05	6.782850473117018e-05	6.896850417435468e-05	0.00016143261129331085	0.00010885644730505528	5.52463401642995e-05
WP_011137954.1	7.738047811350588e-06	1.554725675476791e-06	5.504643004473008e-06	3.9578404502692595e-06	5.515890176420232e-06	6.351037957190052e-06	5.972000442358799e-06	9.837685346463602e-06	5.3733577543663264e-06	8.020442749691401e-06	7.768482717583618e-07	4.522108856204386e-06	6.576764707064692e-06	6.371095259430999e-06	8.28071602023984e-06	7.764439333717932e-06	5.334501124020422e-06	3.6141004682513607e-06	1.0076655130911873e-05	9.124103261662966e-06	8.289257615630132e-06	4.17107874106833e-06	2.7740256512302617e-06	4.074328070704023e-06	1.5449137320172042e-05	8.397452548794797e-06	1.5236669257095033e-05	1.369931254358872e-05	1.0610480982914797e-05	8.131223638572962e-06	9.659482670514173e-06	1.2445896729540019e-05
WP_012052601.1	3.5163464290834154e-05	6.711052016890597e-06	3.590322449035101e-05	1.956990857306471e-05	3.8071899751024976e-05	3.702357179112945e-05	3.4405684442855745e-05	5.4089382704919875e-05	1.922140210032497e-05	3.870337587780312e-05	4.202296441429662e-06	1.767701218770405e-05	3.770350004349697e-05	3.0828857433128856e-05	2.454294661673121e-05	4.046135608348567e-05	3.51329332147451e-05	1.7270581437617168e-05	6.633574035514073e-05	4.770772947274753e-05	4.5004457264477474e-05	3.910309077552651e-05	1.9654074480657192e-05	2.6623552736113945e-05	5.236685361267204e-05	4.209922877795792e-05	6.041426927502877e-05	4.534334075033487e-05	8.7119021109325e-05	6.489559701588189e-05	4.032747460435451e-05	6.033260133589533e-05
WP_020793433.1	5.046164638381081e-05	1.1356091422224664e-05	3.892467242355659e-05	3.714927831431619e-05	2.9407297186897302e-05	5.766552078848977e-05	4.8490312326937735e-05	8.121925881345904e-05	2.0624597597576968e-05	7.181350162489624e-05	7.179955989217903e-06	4.403381071502936e-05	2.9756127564547993e-05	3.854201963394717e-05	5.93365735088691e-05	6.035466430276148e-05	4.4322207399034545e-05	2.4802068391954962e-05	8.395439590595119e-05	6.935388754906277e-05	2.8745288906742205e-05	5.1145661513158486e-05	4.582918155064752e-05	5.294388924379732e-05	6.439405819473468e-05	5.8839628416188766e-05	6.691732990880222e-05	7.631587174375631e-05	6.745098117981972e-05	9.293917083197063e-05	4.984077407818797e-05	6.540482973412231e-05
WP_053776025.1	1.0158727434256211e-06	6.950665289878886e-07	1.5286491517209586e-06	1.374505830791185e-06	1.7958712202298428e-06	1.3785198666769107e-06	2.0399971011641193e-06	3.712530305166497e-06	1.1320069687721129e-06	2.627939470051457e-06	3.4666964672384863e-07	1.2124943034419424e-06	2.1172129916654567e-06	1.0612749269360453e-06	1.8934071070599884e-06	2.4752912216988366e-06	1.7559001910908006e-06	7.75227022464861e-07	2.9526942941741766e-06	3.045528311690511e-06	2.4477742877955936e-06	1.422693524085322e-06	1.2644395991654218e-06	4.775491506127506e-06	2.5149758428187042e-06	3.1246335065282973e-06	2.508898225707175e-06	1.9694571944271315e-06	5.349019670306635e-06	4.059308545148054e-06	1.8260987494145328e-06	4.613219682219485e-06
WP_053776268.1	0.0001460723708852716	2.6644765354653698e-05	4.528039730158448e-05	0.00016190024553628662	3.552928686702774e-05	0.00019240187425151572	0.0001703499871590293	0.00019516491690197137	7.759806040689482e-05	8.115148760660876e-05	6.394728186640817e-06	0.00014499406909379285	3.912900801215528e-05	0.00014939787473677662	0.00010860943590421445	0.00012744211074493093	0.00010689225615758091	8.091491545571628e-05	0.0001485377885658467	0.0002228784826405344	4.742926105120548e-05	0.00018389397773420645	9.934986080188335e-05	0.0001407843257873109	0.00019371181923516576	0.00018966853665128882	6.680723037830804e-05	0.00021913190535991045	6.260958553926249e-05	0.00028303803176987964	0.00020879267764079516	0.00014870336564137214
