sample	coverage	taxonomy
25_12_LLN_R1_paired	0.28	Root; d__Bacteria; p__Planctomycetota; c__J058
25_12_LLN_R1_paired	0.39	Root; d__Bacteria; p__Planctomycetota; c__PUPC01
25_12_LLN_R1_paired	0.08	Root; d__Bacteria; p__Bdellovibrionota; c__Bdellovibrionia
25_12_LLN_R1_paired	0.55	Root; d__Bacteria; p__Desulfobacterota; c__Desulfobacteria
25_12_LLN_R1_paired	1.17	Root; d__Bacteria; p__Desulfobacterota; c__Syntrophobacteria
25_12_LLN_R1_paired	1.08	Root; d__Bacteria; p__Desulfobacterota; c__WTBG01
25_12_LLN_R1_paired	0.41	Root; d__Bacteria; p__Desulfobacterota; c__BSN033
25_12_LLN_R1_paired	0.17	Root; d__Bacteria; p__Desulfobacterota; c__Desulfomonilia
25_12_LLN_R1_paired	0.38	Root; d__Bacteria; p__Desulfobacterota; c__GWC2-55-46
25_12_LLN_R1_paired	0.6	Root; d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia
25_12_LLN_R1_paired	0.36	Root; d__Bacteria; p__Desulfobacterota; c__Desulfarculia
25_12_LLN_R1_paired	0.23	Root; d__Bacteria; p__Marinisomatota; c__Marinisomatia
25_12_LLN_R1_paired	1.76	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia
25_12_LLN_R1_paired	1.16	Root; d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria
25_12_LLN_R1_paired	9.69	Root; d__Bacteria; p__Verrucomicrobiota; c__Kiritimatiellia
25_12_LLN_R1_paired	0.11	Root; d__Bacteria; p__Deinococcota; c__Deinococci
25_12_LLN_R1_paired	0.01	Root; d__Bacteria; p__Bdellovibrionota_B; c__UBA2361
25_12_LLN_R1_paired	0.31	Root; d__Bacteria; p__Bdellovibrionota_B; c__Oligoflexia
25_12_LLN_R1_paired	0.99	Root; d__Bacteria; p__Zhuqueibacterota; c__Zhuqueibacteria
25_12_LLN_R1_paired	0.56	Root; d__Bacteria; p__Bacteroidota_A; c__Rhodothermia
25_12_LLN_R1_paired	0.53	Root; d__Bacteria; p__Bacteroidota_A; c__Ignavibacteria
25_12_LLN_R1_paired	0.11	Root; d__Bacteria; p__Bacteroidota_A; c__Kapaibacteriia
25_12_LLN_R1_paired	0.41	Root; d__Bacteria; p__Myxococcota_A; c__UBA9160
25_12_LLN_R1_paired	5.48	Root; d__Bacteria; p__Bacillota; c__Clostridia
25_12_LLN_R1_paired	6.43	Root; d__Bacteria; p__Bacillota; c__Bacilli
25_12_LLN_R1_paired	0.06	Root; d__Bacteria; p__Bacillota; c__Dehalobacteriia
25_12_LLN_R1_paired	0.54	Root; d__Bacteria; p__Bacillota; c__Limnochordia
25_12_LLN_R1_paired	0.91	Root; d__Bacteria; p__Bacillota; c__Negativicutes
25_12_LLN_R1_paired	1.28	Root; d__Bacteria; p__Cyanobacteriota; c__Vampirovibrionia
25_12_LLN_R1_paired	2.66	Root; d__Bacteria; p__Cyanobacteriota; c__Cyanobacteriia
25_12_LLN_R1_paired	0.4	Root; d__Bacteria; p__Cyanobacteriota; c__Sericytochromatia
25_12_LLN_R1_paired	1.71	Root; d__Bacteria; p__Eisenbacteria; c__RBG-16-71-46
25_12_LLN_R1_paired	0.3	Root; d__Bacteria; p__SZUA-182; c__SZUA-182
25_12_LLN_R1_paired	2.71	Root; d__Bacteria; p__Desulfobacterota_B; c__Binatia
25_12_LLN_R1_paired	1.56	Root; d__Bacteria; p__Elusimicrobiota; c__Elusimicrobia
25_12_LLN_R1_paired	0.41	Root; d__Bacteria; p__Elusimicrobiota; c__Endomicrobiia
25_12_LLN_R1_paired	0.82	Root; d__Bacteria; p__Bipolaricaulota; c__Bipolaricaulia
25_12_LLN_R1_paired	0.11	Root; d__Bacteria; p__RBG-13-66-14; c__B26-G2
25_12_LLN_R1_paired	0.07	Root; d__Bacteria; p__Desulfobacterota_E; c__Deferrimicrobia
25_12_LLN_R1_paired	0.4	Root; d__Bacteria; p__JAJVIF01; c__JAJVIF01
25_12_LLN_R1_paired	0.06	Root; d__Bacteria; p__Arandabacterota; c__Arandabacteria
25_12_LLN_R1_paired	0.81	Root; d__Bacteria; p__Calditrichota; c__Calditrichia
25_12_LLN_R1_paired	0.39	Root; d__Bacteria; p__Armatimonadota; c__UBA5829
