sample	coverage	taxonomy
10_25_MPT_R1_paired	1.56	Root; d__Bacteria; p__Spirochaetota; c__Spirochaetia
10_25_MPT_R1_paired	0.29	Root; d__Bacteria; p__Spirochaetota; c__Leptospiria
10_25_MPT_R1_paired	0.15	Root; d__Bacteria; p__Latescibacterota; c__UBA2968
10_25_MPT_R1_paired	0.5	Root; d__Bacteria; p__Nitrospirota; c__Nitrospiria
10_25_MPT_R1_paired	0.17	Root; d__Bacteria; p__Nitrospirota; c__Thermodesulfovibrionia
10_25_MPT_R1_paired	0.29	Root; d__Bacteria; p__Fibrobacterota; c__Fibrobacteria
10_25_MPT_R1_paired	0.12	Root; d__Bacteria; p__Hinthialibacterota; c__Hinthialibacteria
10_25_MPT_R1_paired	1.0	Root; d__Bacteria; p__Zixibacteria; c__MSB-5A5
10_25_MPT_R1_paired	0.85	Root; d__Bacteria; p__Cyanobacteriota; c__Cyanobacteriia
10_25_MPT_R1_paired	1.0	Root; d__Bacteria; p__Cyanobacteriota; c__Vampirovibrionia
10_25_MPT_R1_paired	0.67	Root; d__Bacteria; p__Calditrichota; c__Calditrichia
10_25_MPT_R1_paired	0.68	Root; d__Bacteria; p__UBA10199; c__UBA10199
10_25_MPT_R1_paired	0.53	Root; d__Bacteria; p__Desulfobacterota_D; c__UBA1144
10_25_MPT_R1_paired	0.44	Root; d__Bacteria; p__Marinisomatota; c__Marinisomatia
10_25_MPT_R1_paired	0.55	Root; d__Bacteria; p__Sumerlaeota; c__Sumerlaeia
10_25_MPT_R1_paired	0.69	Root; d__Bacteria; p__Elusimicrobiota; c__Elusimicrobia
10_25_MPT_R1_paired	0.12	Root; d__Bacteria; p__Vulcanimicrobiota; c__Xenobia
10_25_MPT_R1_paired	0.55	Root; d__Bacteria; p__SAR324; c__SAR324
10_25_MPT_R1_paired	0.32	Root; d__Bacteria; p__Bipolaricaulota; c__Bipolaricaulia
10_25_MPT_R1_paired	0.41	Root; d__Bacteria; p__Methylomirabilota; c__Methylomirabilia
10_25_MPT_R1_paired	0.17	Root; d__Bacteria; p__Poribacteria; c__WGA-4E
10_25_MPT_R1_paired	0.34	Root; d__Bacteria; p__Aquificota; c__Aquificia
10_25_MPT_R1_paired	1.12	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales
10_25_MPT_R1_paired	1.02	Root; d__Archaea; p__Thermoproteota; c__Thermoprotei_A; o__Sulfolobales
10_25_MPT_R1_paired	2.51	Root; d__Archaea; p__Halobacteriota; c__Halobacteria; o__Halobacteriales
10_25_MPT_R1_paired	2.27	Root; d__Archaea; p__Nanobdellota; c__Nanobdellia; o__SCGC-AAA011-G17
10_25_MPT_R1_paired	10.38	Root; d__Archaea; p__Nanobdellota; c__Nanobdellia; o__Woesearchaeales
10_25_MPT_R1_paired	0.05	Root; d__Archaea; p__Nanobdellota; c__Nanobdellia; o__Pacearchaeales
10_25_MPT_R1_paired	0.05	Root; d__Archaea; p__Asgardarchaeota; c__Heimdallarchaeia; o__Heimdallarchaeales
10_25_MPT_R1_paired	0.37	Root; d__Archaea; p__Micrarchaeota; c__Micrarchaeia; o__Micrarchaeales
10_25_MPT_R1_paired	0.69	Root; d__Archaea; p__Micrarchaeota; c__Micrarchaeia; o__Anstonellales
10_25_MPT_R1_paired	0.38	Root; d__Archaea; p__Iainarchaeota; c__Iainarchaeia; o__Iainarchaeales
10_25_MPT_R1_paired	0.49	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia; o__DSTF01
10_25_MPT_R1_paired	0.4	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia; o__UBA3495
10_25_MPT_R1_paired	1.01	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia; o__SAR202
10_25_MPT_R1_paired	0.67	Root; d__Bacteria; p__Chloroflexota; c__Anaerolineae; o__4572-78
10_25_MPT_R1_paired	3.63	Root; d__Bacteria; p__Chloroflexota; c__Anaerolineae; o__Anaerolineales
10_25_MPT_R1_paired	0.08	Root; d__Bacteria; p__Chloroflexota; c__Anaerolineae; o__Epilineales
10_25_MPT_R1_paired	0.6	Root; d__Bacteria; p__Chloroflexota; c__Anaerolineae; o__Aggregatilineales
10_25_MPT_R1_paired	0.4	Root; d__Bacteria; p__Chloroflexota; c__Anaerolineae; o__B4-G1
