sample	coverage	taxonomy
10_25_PPT_R1_paired	0.36	Root; d__Bacteria; p__Planctomycetota; c__PLA2; o__PLA2
10_25_PPT_R1_paired	1.4	Root; d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Phycisphaerales
10_25_PPT_R1_paired	1.07	Root; d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Sedimentisphaerales
10_25_PPT_R1_paired	1.71	Root; d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__UBA1845
10_25_PPT_R1_paired	0.17	Root; d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__SM23-33
10_25_PPT_R1_paired	0.91	Root; d__Bacteria; p__Planctomycetota; c__UBA8108; o__UBA8108
10_25_PPT_R1_paired	0.44	Root; d__Bacteria; p__Planctomycetota; c__GCA-002687715; o__GCA-002687715
10_25_PPT_R1_paired	0.69	Root; d__Bacteria; p__Planctomycetota; c__B15-G4; o__B15-G4
10_25_PPT_R1_paired	8.9	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales
10_25_PPT_R1_paired	0.19	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales
10_25_PPT_R1_paired	1.14	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rickettsiales
10_25_PPT_R1_paired	0.41	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Kiloniellales
10_25_PPT_R1_paired	0.35	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Micavibrionales
10_25_PPT_R1_paired	1.48	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodospirillales
10_25_PPT_R1_paired	1.55	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales
10_25_PPT_R1_paired	0.56	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__UBA8366
10_25_PPT_R1_paired	0.28	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Pelagibacterales
10_25_PPT_R1_paired	2.29	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Xanthomonadales
10_25_PPT_R1_paired	0.62	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Nitrococcales
10_25_PPT_R1_paired	8.98	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales
10_25_PPT_R1_paired	1.04	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Arenicellales
10_25_PPT_R1_paired	0.94	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales
10_25_PPT_R1_paired	4.4	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales
10_25_PPT_R1_paired	0.46	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Competibacterales
10_25_PPT_R1_paired	0.65	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Acidiferrobacterales
10_25_PPT_R1_paired	1.07	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Methylococcales
10_25_PPT_R1_paired	1.03	Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Marinacidobacterales
10_25_PPT_R1_paired	0.98	Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales
10_25_PPT_R1_paired	1.31	Root; d__Bacteria; p__Acidobacteriota; c__UBA6911; o__RPQK01
10_25_PPT_R1_paired	0.23	Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__Thermoanaerobaculales
10_25_PPT_R1_paired	3.81	Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__Multivoradales
10_25_PPT_R1_paired	2.21	Root; d__Bacteria; p__Acidobacteriota; c__Polarisedimenticolia; o__Polarisedimenticolales
10_25_PPT_R1_paired	0.38	Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Terriglobales
10_25_PPT_R1_paired	0.28	Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Bryobacterales
10_25_PPT_R1_paired	0.84	Root; d__Bacteria; p__Acidobacteriota; c__Aminicenantia; o__Aminicenantales
10_25_PPT_R1_paired	0.57	Root; d__Bacteria; p__Acidobacteriota; c__UBA890; o__UBA890
10_25_PPT_R1_paired	2.11	Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales
10_25_PPT_R1_paired	0.49	Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__HGW-17
10_25_PPT_R1_paired	0.43	Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__Haliangiales
10_25_PPT_R1_paired	1.65	Root; d__Bacteria; p__Myxococcota; c__Polyangia; o__GCA-2747355
10_25_PPT_R1_paired	1.42	Root; d__Bacteria; p__Myxococcota; c__XYA12-FULL-58-9; o__XYA12-FULL-58-9
10_25_PPT_R1_paired	0.18	Root; d__Bacteria; p__Myxococcota; c__Myxococcia; o__Myxococcales
10_25_PPT_R1_paired	0.42	Root; d__Bacteria; p__Myxococcota; c__UBA796; o__UBA796
10_25_PPT_R1_paired	0.31	Root; d__Bacteria; p__Chloroflexota; c__Limnocylindria; o__Limnocylindrales
10_25_PPT_R1_paired	0.29	Root; d__Bacteria; p__Chloroflexota; c__Anaerolineae; o__Promineifilales
